quote,author,tags,searchable_text
“There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self.”,Ernest Hemingway,"['humility', 'self-improvement']",Quote: “There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self.” Author: Ernest Hemingway By: Ernest Hemingway About: humility Topic: humility Theme: humility About: self-improvement Topic: self-improvement Theme: self-improvement
“Knowing others is intelligence;knowing yourself is true wisdom.Mastering others is strength; mastering yourself is true power.”,"Lao Tzu,",['wisdom'],"Quote: “Knowing others is intelligence;knowing yourself is true wisdom.Mastering others is strength; mastering yourself is true power.” Author: Lao Tzu, By: Lao Tzu, About: wisdom Topic: wisdom Theme: wisdom"
"“Worry does not empty tomorrow of its sorrow, it empties today of its strength.”","Corrie Ten Boom,","['strength', 'worry']","Quote: “Worry does not empty tomorrow of its sorrow, it empties today of its strength.” Author: Corrie Ten Boom, By: Corrie Ten Boom, About: strength Topic: strength Theme: strength About: worry Topic: worry Theme: worry"
"“It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.”",Rose Fitzgerald Kennedy,"['healing', 'pain', 'remembrance', 'scars', 'time']","Quote: “It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.” Author: Rose Fitzgerald Kennedy By: Rose Fitzgerald Kennedy About: healing Topic: healing Theme: healing About: pain Topic: pain Theme: pain About: remembrance Topic: remembrance Theme: remembrance About: scars Topic: scars Theme: scars About: time Topic: time Theme: time life quotes"
“Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.”,C. JoyBell C.,"['belief', 'bravery', 'courage', 'fear', 'fears', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'strength']",Quote: “Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.” Author: C. JoyBell C. By: C. JoyBell C. About: belief Topic: belief Theme: belief About: bravery Topic: bravery Theme: bravery About: courage Topic: courage Theme: courage About: fear Topic: fear Theme: fear About: fears Topic: fears Theme: fears About: inspirational Topic: inspirational Theme: inspirational About: inspirational-life Topic: inspirational-life Theme: inspirational-life About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: strength Topic: strength Theme: strength
"“There comes a time when one must take a position that is neither safe, nor politic, nor popular, but he must take it because conscience tells him it is right.”","Martin Luther King Jr.,","['conscience', 'politics', 'right']","Quote: “There comes a time when one must take a position that is neither safe, nor politic, nor popular, but he must take it because conscience tells him it is right.” Author: Martin Luther King Jr., By: Martin Luther King Jr., About: conscience Topic: conscience Theme: conscience About: politics Topic: politics Theme: politics About: right Topic: right Theme: right life quotes"
"“Why is it,"" he said, one time, at the subway entrance, ""I feel I've known you so many years?""""Because I like you,"" she said, ""and I don't want anything from you.”","Ray Bradbury,","['friendship', 'relationships']","Quote: “Why is it,"" he said, one time, at the subway entrance, ""I feel I've known you so many years?""""Because I like you,"" she said, ""and I don't want anything from you.” Author: Ray Bradbury, By: Ray Bradbury, About: friendship Topic: friendship Theme: friendship About: relationships Topic: relationships Theme: relationships life quotes"
“I love you. Remember. They cannot take it”,"Lauren Oliver,","['amor-deliria-nervosa', 'love']","Quote: “I love you. Remember. They cannot take it” Author: Lauren Oliver, By: Lauren Oliver, About: amor-deliria-nervosa Topic: amor-deliria-nervosa Theme: amor-deliria-nervosa About: love Topic: love Theme: love love quotes"
"“A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.”",Robert Frost,['poetry'],"Quote: “A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.” Author: Robert Frost By: Robert Frost About: poetry Topic: poetry Theme: poetry love quotes"
"“The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.”",Jim MORRISON,"['freedom', 'individuality', 'inspirational', 'mask', 'personality', 'revolution', 'truth']","Quote: “The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.” Author: Jim MORRISON By: Jim MORRISON About: freedom Topic: freedom Theme: freedom About: individuality Topic: individuality Theme: individuality About: inspirational Topic: inspirational Theme: inspirational About: mask Topic: mask Theme: mask About: personality Topic: personality Theme: personality About: revolution Topic: revolution Theme: revolution About: truth Topic: truth Theme: truth"
"“You pierce my soul. I am half agony, half hope...I have loved none but you.”","Jane Austen,",['romantic'],"Quote: “You pierce my soul. I am half agony, half hope...I have loved none but you.” Author: Jane Austen, By: Jane Austen, About: romantic Topic: romantic Theme: romantic love quotes"
“Three things in human life are important: the first is to be kind; the second is to be kind; and the third is to be kind.”,Henry James,['kindness'],Quote: “Three things in human life are important: the first is to be kind; the second is to be kind; and the third is to be kind.” Author: Henry James By: Henry James About: kindness Topic: kindness Theme: kindness life quotes
"“It's not the load that breaks you down, it's the way you carry it.”",Lou Holtz,"['inspiration', 'motivation']","Quote: “It's not the load that breaks you down, it's the way you carry it.” Author: Lou Holtz By: Lou Holtz About: inspiration Topic: inspiration Theme: inspiration About: motivation Topic: motivation Theme: motivation"
"“I think we dream so we donâ€™t have to be apart for so long. If weâ€™re in each otherâ€™s dreams, we can be together all the time.”","A.A. Milne,","['dreams', 'together']","Quote: “I think we dream so we donâ€™t have to be apart for so long. If weâ€™re in each otherâ€™s dreams, we can be together all the time.” Author: A.A. Milne, By: A.A. Milne, About: dreams Topic: dreams Theme: dreams About: together Topic: together Theme: together life quotes"
"“The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.”",G.K. Chesterton,"['life', 'passion', 'war']","Quote: “The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.” Author: G.K. Chesterton By: G.K. Chesterton About: life Topic: life Theme: life About: passion Topic: passion Theme: passion About: war Topic: war Theme: war love quotes"
"“I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?”","Nicholas Sparks,","['energy', 'nicholas-sparks', 'relationships', 'the-last-song']","Quote: “I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?” Author: Nicholas Sparks, By: Nicholas Sparks, About: energy Topic: energy Theme: energy About: nicholas-sparks Topic: nicholas-sparks Theme: nicholas-sparks About: relationships Topic: relationships Theme: relationships About: the-last-song Topic: the-last-song Theme: the-last-song life quotes"
“Nothing is so painful to the human mind as a great and sudden change.”,"Mary Wollstonecraft Shelley,","['change', 'human']","Quote: “Nothing is so painful to the human mind as a great and sudden change.” Author: Mary Wollstonecraft Shelley, By: Mary Wollstonecraft Shelley, About: change Topic: change Theme: change About: human Topic: human Theme: human"
“He who has a why to live for can bear almost any how.”,Friedrich Nietzsche,"['how', 'life', 'purpose', 'questioning', 'questions', 'why']",Quote: “He who has a why to live for can bear almost any how.” Author: Friedrich Nietzsche By: Friedrich Nietzsche About: how Topic: how Theme: how About: life Topic: life Theme: life About: purpose Topic: purpose Theme: purpose About: questioning Topic: questioning Theme: questioning About: questions Topic: questions Theme: questions About: why Topic: why Theme: why
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,['troubles'],Quote: “I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!” Author: Dr. Seuss By: Dr. Seuss About: troubles Topic: troubles Theme: troubles book quotes
“Reading one book is like eating one potato chip.”,"Diane Duane,","['books', 'reading']","Quote: “Reading one book is like eating one potato chip.” Author: Diane Duane, By: Diane Duane, About: books Topic: books Theme: books About: reading Topic: reading Theme: reading book quotes"
"“A woman has to live her life, or live to repent not having lived it.”","D.H. Lawrence,","['life', 'living', 'philosophy', 'women']","Quote: “A woman has to live her life, or live to repent not having lived it.” Author: D.H. Lawrence, By: D.H. Lawrence, About: life Topic: life Theme: life About: living Topic: living Theme: living About: philosophy Topic: philosophy Theme: philosophy About: women Topic: women Theme: women life quotes"
“Cinderella? Snow White? What's that? An illness?”,"J.K. Rowling,",['fairytales'],"Quote: “Cinderella? Snow White? What's that? An illness?” Author: J.K. Rowling, By: J.K. Rowling, About: fairytales Topic: fairytales Theme: fairytales"
"“When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.”",Taylor Swift,"['fairy-tales', 'inspirational', 'prince-charming', 'taylor-swift']","Quote: “When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.” Author: Taylor Swift By: Taylor Swift About: fairy-tales Topic: fairy-tales Theme: fairy-tales About: inspirational Topic: inspirational Theme: inspirational About: prince-charming Topic: prince-charming Theme: prince-charming About: taylor-swift Topic: taylor-swift Theme: taylor-swift book quotes"
"“There's plenty of sense in nonsense sometimes, if you wish to look for it.”","Cassandra Clare,",['will-herondale'],"Quote: “There's plenty of sense in nonsense sometimes, if you wish to look for it.” Author: Cassandra Clare, By: Cassandra Clare, About: will-herondale Topic: will-herondale Theme: will-herondale life quotes"
“Do I not destroy my enemies when I make them my friends?”,Abraham Lincoln,"['abe', 'enemies', 'enemy', 'friend', 'friends', 'friendship', 'life', 'lincoln']",Quote: “Do I not destroy my enemies when I make them my friends?” Author: Abraham Lincoln By: Abraham Lincoln About: abe Topic: abe Theme: abe About: enemies Topic: enemies Theme: enemies About: enemy Topic: enemy Theme: enemy About: friend Topic: friend Theme: friend About: friends Topic: friends Theme: friends About: friendship Topic: friendship Theme: friendship About: life Topic: life Theme: life About: lincoln Topic: lincoln Theme: lincoln
"“Success is not how high you have climbed, but how you make a positive difference to the world.”","Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']","Quote: “Success is not how high you have climbed, but how you make a positive difference to the world.” Author: Roy T. Bennett, By: Roy T. Bennett, About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-attitude Topic: inspirational-attitude Theme: inspirational-attitude About: inspirational-life Topic: inspirational-life Theme: inspirational-life About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: inspire Topic: inspire Theme: inspire About: inspiring Topic: inspiring Theme: inspiring About: leader Topic: leader Theme: leader About: leadership Topic: leadership Theme: leadership About: life Topic: life Theme: life About: life-and-living Topic: life-and-living Theme: life-and-living About: life-lessons Topic: life-lessons Theme: life-lessons About: life-quotes Topic: life-quotes Theme: life-quotes About: living Topic: living Theme: living About: motivation Topic: motivation Theme: motivation About: motivational Topic: motivational Theme: motivational About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking About: success Topic: success Theme: success"
“Even the darkest night will end and the sun will rise.”,"Victor Hugo,","['apothegm', 'optimism']","Quote: “Even the darkest night will end and the sun will rise.” Author: Victor Hugo, By: Victor Hugo, About: apothegm Topic: apothegm Theme: apothegm About: optimism Topic: optimism Theme: optimism"
"“If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.”","Lemony Snicket,","['humor', 'talking', 'writers']","Quote: “If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.” Author: Lemony Snicket, By: Lemony Snicket, About: humor Topic: humor Theme: humor About: talking Topic: talking Theme: talking About: writers Topic: writers Theme: writers"
“You never fail until you stop trying.”,Albert Einstein,['inspirational'],Quote: “You never fail until you stop trying.” Author: Albert Einstein By: Albert Einstein About: inspirational Topic: inspirational Theme: inspirational
"“I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.”","Santosh Kalwar,","['cry', 'inspirational', 'joke', 'love', 'romance', 'smile']","Quote: “I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.” Author: Santosh Kalwar, By: Santosh Kalwar, About: cry Topic: cry Theme: cry About: inspirational Topic: inspirational Theme: inspirational About: joke Topic: joke Theme: joke About: love Topic: love Theme: love About: romance Topic: romance Theme: romance About: smile Topic: smile Theme: smile life quotes"
"“You'll stay with me?'Until the very end,' said James.”","J. K. Rowling,","['death', 'final', 'goodbye', 'harry-potter', 'lupin', 'parents', 'sirius']","Quote: “You'll stay with me?'Until the very end,' said James.” Author: J. K. Rowling, By: J. K. Rowling, About: death Topic: death Theme: death About: final Topic: final Theme: final About: goodbye Topic: goodbye Theme: goodbye About: harry-potter Topic: harry-potter Theme: harry-potter About: lupin Topic: lupin Theme: lupin About: parents Topic: parents Theme: parents About: sirius Topic: sirius Theme: sirius"
"“Thatâ€™s part of what I like about the book in some ways. It portrays death truthfully. You die in the middle of your life, in the middle of a sentence”","John Green,",['death-and-dying'],"Quote: “Thatâ€™s part of what I like about the book in some ways. It portrays death truthfully. You die in the middle of your life, in the middle of a sentence” Author: John Green, By: John Green, About: death-and-dying Topic: death-and-dying Theme: death-and-dying life quotes book quotes"
“I read a book one day and my whole life was changed.”,"Orhan Pamuk,","['books', 'orhan-pamuk', 'reading', 'the-new-life']","Quote: “I read a book one day and my whole life was changed.” Author: Orhan Pamuk, By: Orhan Pamuk, About: books Topic: books Theme: books About: orhan-pamuk Topic: orhan-pamuk Theme: orhan-pamuk About: reading Topic: reading Theme: reading About: the-new-life Topic: the-new-life Theme: the-new-life life quotes book quotes"
"“Everything tells me that I am about to make a wrong decision, but making mistakes is just part of life. What does the world want of me? Does it want me to take no risks, to go back to where I came from because I didn't have the courage to say ""yes"" to life?”","Paulo Coelho,","['eleven-minutes', 'paulo-coelho']","Quote: “Everything tells me that I am about to make a wrong decision, but making mistakes is just part of life. What does the world want of me? Does it want me to take no risks, to go back to where I came from because I didn't have the courage to say ""yes"" to life?” Author: Paulo Coelho, By: Paulo Coelho, About: eleven-minutes Topic: eleven-minutes Theme: eleven-minutes About: paulo-coelho Topic: paulo-coelho Theme: paulo-coelho life quotes"
"“but for my own part, if a book is well written, I always find it too short.”",Jane Austen,"['books', 'catherine', 'or-the-bower']","Quote: “but for my own part, if a book is well written, I always find it too short.” Author: Jane Austen By: Jane Austen About: books Topic: books Theme: books About: catherine Topic: catherine Theme: catherine About: or-the-bower Topic: or-the-bower Theme: or-the-bower book quotes"
“The most wasted of all days is one without laughter.”,Nicolas Chamfort,"['god', 'joy', 'life', 'spirituality']",Quote: “The most wasted of all days is one without laughter.” Author: Nicolas Chamfort By: Nicolas Chamfort About: god Topic: god Theme: god About: joy Topic: joy Theme: joy About: life Topic: life Theme: life About: spirituality Topic: spirituality Theme: spirituality
“Books are for people who wish they were somewhere else.”,Mark Twain,['books-reading'],Quote: “Books are for people who wish they were somewhere else.” Author: Mark Twain By: Mark Twain About: books-reading Topic: books-reading Theme: books-reading book quotes
"“Among other things, you'll find that you're not the first person who was ever confused and frightened and even sickened by human behavior. You're by no means alone on that score, you'll be excited and stimulated to know. Many, many men have been just as troubled morally and spiritually as you are right now. Happily, some of them kept records of their troubles. You'll learn from themâ€”if you want to. Just as someday, if you have something to offer, someone will learn something from you. It's a beautiful reciprocal arrangement. And it isn't education. It's history. It's poetry.”","J.D. Salinger,",['antolini'],"Quote: “Among other things, you'll find that you're not the first person who was ever confused and frightened and even sickened by human behavior. You're by no means alone on that score, you'll be excited and stimulated to know. Many, many men have been just as troubled morally and spiritually as you are right now. Happily, some of them kept records of their troubles. You'll learn from themâ€”if you want to. Just as someday, if you have something to offer, someone will learn something from you. It's a beautiful reciprocal arrangement. And it isn't education. It's history. It's poetry.” Author: J.D. Salinger, By: J.D. Salinger, About: antolini Topic: antolini Theme: antolini"
"“The paradox of our time in history is that we have taller buildings but shorter tempers, wider Freeways, but narrower viewpoints. We spend more, but have less, we buy more, but enjoy less. We have bigger houses and smaller families, more conveniences, but less time. We have more degrees but less sense, more knowledge, but less judgment, more experts, yet more problems, more medicine, but less wellness.We drink too much, smoke too much, spend too recklessly, laugh too little, drive too fast, get too angry, stay up too late, get up too tired, read too little, watch TV too much, and pray too seldom. We have multiplied our possessions, but reduced our values. We talk too much, love too seldom, and hate too often.We've learned how to make a living, but not a life. We've added years to life not life to years. We've been all the way to the moon and back, but have trouble crossing the street to meet a new neighbor. We conquered outer space but not inner space. We've done larger things, but not better things.We've cleaned up the air, but polluted the soul. We've conquered the atom, but not our prejudice. We write more, but learn less. We plan more, but accomplish less. We've learned to rush, but not to wait. We build more computers to hold more information, to produce more copies than ever, but we communicate less and less.These are the times of fast foods and slow digestion, big men and small character, steep profits and shallow relationships.These are the days of two incomes but more divorce, fancier houses, but broken homes. These are days of quick trips, disposable diapers, throwaway morality, one night stands, overweight bodies, and pills that do everything from cheer, to quiet, to kill. It is a time when there is much in the showroom window and nothing in the stockroom. A time when technology can bring this letter to you, and a time when you can choose either to share this insight, or to just hit delete...Remember, to spend some time with your loved ones, because they are not going to be around forever. Remember, say a kind word to someone who looks up to you in awe, because that little person soon will grow up and leave your side.Remember, to give a warm hug to the one next to you, because that is the only treasure you can give with your heart and it doesn't cost a cent.Remember, to say, ""I love you"" to your partner and your loved ones, but most of all mean it. A kiss and an embrace will mend hurt when it comes from deep inside of you.Remember to hold hands and cherish the moment for someday that person might not be there again. Give time to love, give time to speak! And give time to share the precious thoughts in your mind.”","Bob Moorehead,",['misattributed-george-carlin'],"Quote: “The paradox of our time in history is that we have taller buildings but shorter tempers, wider Freeways, but narrower viewpoints. We spend more, but have less, we buy more, but enjoy less. We have bigger houses and smaller families, more conveniences, but less time. We have more degrees but less sense, more knowledge, but less judgment, more experts, yet more problems, more medicine, but less wellness.We drink too much, smoke too much, spend too recklessly, laugh too little, drive too fast, get too angry, stay up too late, get up too tired, read too little, watch TV too much, and pray too seldom. We have multiplied our possessions, but reduced our values. We talk too much, love too seldom, and hate too often.We've learned how to make a living, but not a life. We've added years to life not life to years. We've been all the way to the moon and back, but have trouble crossing the street to meet a new neighbor. We conquered outer space but not inner space. We've done larger things, but not better things.We've cleaned up the air, but polluted the soul. We've conquered the atom, but not our prejudice. We write more, but learn less. We plan more, but accomplish less. We've learned to rush, but not to wait. We build more computers to hold more information, to produce more copies than ever, but we communicate less and less.These are the times of fast foods and slow digestion, big men and small character, steep profits and shallow relationships.These are the days of two incomes but more divorce, fancier houses, but broken homes. These are days of quick trips, disposable diapers, throwaway morality, one night stands, overweight bodies, and pills that do everything from cheer, to quiet, to kill. It is a time when there is much in the showroom window and nothing in the stockroom. A time when technology can bring this letter to you, and a time when you can choose either to share this insight, or to just hit delete...Remember, to spend some time with your loved ones, because they are not going to be around forever. Remember, say a kind word to someone who looks up to you in awe, because that little person soon will grow up and leave your side.Remember, to give a warm hug to the one next to you, because that is the only treasure you can give with your heart and it doesn't cost a cent.Remember, to say, ""I love you"" to your partner and your loved ones, but most of all mean it. A kiss and an embrace will mend hurt when it comes from deep inside of you.Remember to hold hands and cherish the moment for someday that person might not be there again. Give time to love, give time to speak! And give time to share the precious thoughts in your mind.” Author: Bob Moorehead, By: Bob Moorehead, About: misattributed-george-carlin Topic: misattributed-george-carlin Theme: misattributed-george-carlin love quotes life quotes book quotes"
“All the darkness in the world cannot extinguish the light of a single candle.”,"St. Francis Of Assisi,",['inspirational'],"Quote: “All the darkness in the world cannot extinguish the light of a single candle.” Author: St. Francis Of Assisi, By: St. Francis Of Assisi, About: inspirational Topic: inspirational Theme: inspirational"
"“I believe the universe wants to be noticed. I think the universe is inprobably biased toward the consciousness, that it rewards intelligence in part because the universe enjoys its elegance being observed. And who am I, living in the middle of history, to tell the universe that it-or my observation of it-is temporary?”","John Green,","['john-green', 'tfios', 'the-fault-in-our-stars']","Quote: “I believe the universe wants to be noticed. I think the universe is inprobably biased toward the consciousness, that it rewards intelligence in part because the universe enjoys its elegance being observed. And who am I, living in the middle of history, to tell the universe that it-or my observation of it-is temporary?” Author: John Green, By: John Green, About: john-green Topic: john-green Theme: john-green About: tfios Topic: tfios Theme: tfios About: the-fault-in-our-stars Topic: the-fault-in-our-stars Theme: the-fault-in-our-stars"
"“Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.”",sylvia plath,['goals'],"Quote: “Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.” Author: sylvia plath By: sylvia plath About: goals Topic: goals Theme: goals"
"“She wasn't bitter. She was sad, though. But it was a hopeful kind of sad. The kind of sad that just takes time. ”","Stephen Chbosky,",['the-perks-of-being-a-wallflower'],"Quote: “She wasn't bitter. She was sad, though. But it was a hopeful kind of sad. The kind of sad that just takes time. ” Author: Stephen Chbosky, By: Stephen Chbosky, About: the-perks-of-being-a-wallflower Topic: the-perks-of-being-a-wallflower Theme: the-perks-of-being-a-wallflower life quotes"
“Writing is a socially acceptable form of schizophrenia.”,E.L. Doctorow,['writing'],Quote: “Writing is a socially acceptable form of schizophrenia.” Author: E.L. Doctorow By: E.L. Doctorow About: writing Topic: writing Theme: writing
“Poets have been mysteriously silent on the subject of cheese.”,"G.K. Chesterton,","['cheese', 'poetry']","Quote: “Poets have been mysteriously silent on the subject of cheese.” Author: G.K. Chesterton, By: G.K. Chesterton, About: cheese Topic: cheese Theme: cheese About: poetry Topic: poetry Theme: poetry"
"“Laters, baby.”","E.L. James,","['christina-grey', 'e-l-james', 'fifty-shades-of-grey']","Quote: “Laters, baby.” Author: E.L. James, By: E.L. James, About: christina-grey Topic: christina-grey Theme: christina-grey About: e-l-james Topic: e-l-james Theme: e-l-james About: fifty-shades-of-grey Topic: fifty-shades-of-grey Theme: fifty-shades-of-grey"
“Love is an irresistible desire to be irresistibly desired.”,Robert Frost,['love'],Quote: “Love is an irresistible desire to be irresistibly desired.” Author: Robert Frost By: Robert Frost About: love Topic: love Theme: love love quotes
"“If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”",C. JoyBell C.,"['forgetting', 'hate', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'letting-go', 'life', 'life-and-living', 'living', 'strength']","Quote: “If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.” Author: C. JoyBell C. By: C. JoyBell C. About: forgetting Topic: forgetting Theme: forgetting About: hate Topic: hate Theme: hate About: inspirational Topic: inspirational Theme: inspirational About: inspirational-attitude Topic: inspirational-attitude Theme: inspirational-attitude About: inspirational-life Topic: inspirational-life Theme: inspirational-life About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: letting-go Topic: letting-go Theme: letting-go About: life Topic: life Theme: life About: life-and-living Topic: life-and-living Theme: life-and-living About: living Topic: living Theme: living About: strength Topic: strength Theme: strength love quotes"
"“How do you feel, Georgie?"" whispered Mrs. Weasley.George's fingers groped for the side of his head.""Saintlike,"" he murmured.""What's wrong with him?"" croaked Fred, looking terrified. ""Is his mind affected?""""Saintlike,"" repeated George, opening his eyes and looking up at his brother. ""You see...I'm HOLEY, Fred, geddit?”","J.K. Rowling,","['harry-potter', 'humor']","Quote: “How do you feel, Georgie?"" whispered Mrs. Weasley.George's fingers groped for the side of his head.""Saintlike,"" he murmured.""What's wrong with him?"" croaked Fred, looking terrified. ""Is his mind affected?""""Saintlike,"" repeated George, opening his eyes and looking up at his brother. ""You see...I'm HOLEY, Fred, geddit?” Author: J.K. Rowling, By: J.K. Rowling, About: harry-potter Topic: harry-potter Theme: harry-potter About: humor Topic: humor Theme: humor"
“Everyone has talent. What's rare is the courage to follow it to the dark places where it leads.”,Erica Jong,"['courage', 'talent']",Quote: “Everyone has talent. What's rare is the courage to follow it to the dark places where it leads.” Author: Erica Jong By: Erica Jong About: courage Topic: courage Theme: courage About: talent Topic: talent Theme: talent
“Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.”,"Roy T. Bennett,","['adversity', 'authentic-living', 'being-positive', 'faith', 'inspiration', 'inspirational', 'inspirational-quotes', 'life', 'life-and-living', 'life-quotes', 'motivation', 'never-give-up', 'optimism', 'optimistic', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","Quote: “Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.” Author: Roy T. Bennett, By: Roy T. Bennett, About: adversity Topic: adversity Theme: adversity About: authentic-living Topic: authentic-living Theme: authentic-living About: being-positive Topic: being-positive Theme: being-positive About: faith Topic: faith Theme: faith About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: life Topic: life Theme: life About: life-and-living Topic: life-and-living Theme: life-and-living About: life-quotes Topic: life-quotes Theme: life-quotes About: motivation Topic: motivation Theme: motivation About: never-give-up Topic: never-give-up Theme: never-give-up About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: persistence Topic: persistence Theme: persistence About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking life quotes"
“Right now Iâ€™m having amnesia and dÃ©jÃ  vu at the same time. I think Iâ€™ve forgotten this before.”,Steven Wright,"['amnesia', 'humor', 'memory']",Quote: “Right now Iâ€™m having amnesia and dÃ©jÃ  vu at the same time. I think Iâ€™ve forgotten this before.” Author: Steven Wright By: Steven Wright About: amnesia Topic: amnesia Theme: amnesia About: humor Topic: humor Theme: humor About: memory Topic: memory Theme: memory life quotes
"“Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.”","J.K. Rowling,",['life'],"Quote: “Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.” Author: J.K. Rowling, By: J.K. Rowling, About: life Topic: life Theme: life"
“I don't believe in the kind of magic in my books. But I do believe something very magical can happen when you read a good book.”,J.K. Rowling,"['books', 'magic', 'magic-books']",Quote: “I don't believe in the kind of magic in my books. But I do believe something very magical can happen when you read a good book.” Author: J.K. Rowling By: J.K. Rowling About: books Topic: books Theme: books About: magic Topic: magic Theme: magic About: magic-books Topic: magic-books Theme: magic-books book quotes
"“The more I see, the less I know for sure.”",John Lennon,"['beatles', 'life', 'perception', 'truth']","Quote: “The more I see, the less I know for sure.” Author: John Lennon By: John Lennon About: beatles Topic: beatles Theme: beatles About: life Topic: life Theme: life About: perception Topic: perception Theme: perception About: truth Topic: truth Theme: truth"
